	Запросы	URL перехода выдачи	Разница переходов
0	чайник электрический	https://eldorado.ru/c/chayniki-elektricheskie/	-64.0
1	умный чайник	https://eldorado.ru/c/chayniki-elektricheskie/tag/umnye_chajniki/	-50.0
5	электрический чайник	https://eldorado.ru/c/chayniki-elektricheskie/	-23.0
3	купить чайник	https://eldorado.ru/c/chayniki-elektricheskie/	-21.0
6	чайник	https://eldorado.ru/c/chayniki-elektricheskie/	-21.0
2	чайник электрический купить	https://eldorado.ru/c/chayniki-elektricheskie/	-14.0
8	чайник электрический купить в москве	https://eldorado.ru/c/chayniki-elektricheskie/	-14.0
7	купить электрический чайник	https://eldorado.ru/c/chayniki-elektricheskie/	-11.0
4	купить чайник электрический	https://eldorado.ru/c/chayniki-elektricheskie/	-10.0
11	чайник электрический с регулировкой температуры	https://eldorado.ru/c/chayniki-elektricheskie/f/405605850/	-8.0
