	Запросы	URL перехода выдачи	Разница переходов
1	xbox series s	https://eldorado.ru/cat/detail/igrovaya-pristavka-microsoft-xbox-series-s-512gb/	-383.0
0	xbox series s купить	https://eldorado.ru/cat/detail/igrovaya-pristavka-microsoft-xbox-series-s-512gb/	-371.0
2	ps5 купить	https://eldorado.ru/cat/detail/igrovaya-pristavka-sony-playstation-5/	-159.0
3	usb флеш-накопитель sandisk ultra flair usb 3.0 flash drive 32 гб site:eldorado.ru	https://eldorado.ru/cat/detail/usb-fleshka-sandisk-ultra-flair-32gb-sdcz73-032g-g46/	-131.0
7	электрическая зубная щетка braun oral-b vitality d100.413.1 crossaction 1+1	https://eldorado.ru/cat/detail/elektricheskaya-zubnaya-shchetka-braun-oral-b-vitality-d100-413-1-crossaction-2-sht/	-125.0
8	яндекс станция мини купить	https://eldorado.ru/cat/detail/umnaya-kolonka-yandex-stantsiya-mini-black-yndx-0004/	-123.0
5	ps5 купить	https://eldorado.ru/cat/detail/igrovaya-pristavka-playstation-5-digital-edition/	-108.0
6	playstation 5 купить	https://eldorado.ru/cat/detail/igrovaya-pristavka-sony-playstation-5/	-107.0
11	xbox series x	https://eldorado.ru/cat/detail/igrovaya-pristavka-microsoft-xbox-series-x/	-87.0
12	самсунг а51	https://eldorado.ru/cat/detail/smartfon-samsung-galaxy-a51-64gb-black-sm-a515f/	-86.0
4	xbox series x купить	https://eldorado.ru/cat/detail/igrovaya-pristavka-microsoft-xbox-series-x/	-81.0
9	ps5	https://eldorado.ru/cat/detail/igrovaya-pristavka-sony-playstation-5/	-79.0
10	купить xbox series s	https://eldorado.ru/cat/detail/igrovaya-pristavka-microsoft-xbox-series-s-512gb/	-78.0
13	playstation 5	https://eldorado.ru/cat/detail/igrovaya-pristavka-sony-playstation-5/	-73.0
15	logitech g102	https://eldorado.ru/cat/detail/igrovaja-mysh-logitech-g102-prodigy-910-004939/	-63.0
14	jbl flip 4	https://eldorado.ru/cat/detail/portativnaja-akustika-jbl-flip-4-black-jblflip4blk-/	-59.0
18	ps5	https://eldorado.ru/cat/detail/igrovaya-pristavka-playstation-5-digital-edition/	-46.0
19	самсунг а51 цена	https://eldorado.ru/cat/detail/smartfon-samsung-galaxy-a51-64gb-black-sm-a515f/	-46.0
16	lenovo a7600-h	https://eldorado.ru/cat/detail/planshet-lenovo-tab-a7600-h-16gb-3g/?show=properties	-43.0
17	jbl flip 4 купить	https://eldorado.ru/cat/detail/portativnaja-akustika-jbl-flip-4-black-jblflip4blk-/	-40.0
20	skv4093gl	https://eldorado.ru/cat/detail/robot-pylesos-mi-robot-vacuum-mop-skv4093gl/	-40.0
21	samsung a51	https://eldorado.ru/cat/detail/smartfon-samsung-galaxy-a51-64gb-black-sm-a515f/	-33.0
24	пылесос ручной (handstick) tefal x-pert 3.60 versatile handstick ty6975wo	https://eldorado.ru/cat/detail/vertikalnyy-pylesos-tefal-x-pert-3-60-versatile-handstick-ty6975wo/	-28.0
26	самсунг м21 купить	https://eldorado.ru/cat/detail/smartfon-samsung-galaxy-m21-64gb-black-sm-m215f/	-26.0
22	dyson airwrap купить	https://eldorado.ru/cat/detail/stajler-dyson-hs01-airwrap-dlja-raznyh-tipov-volos/	-25.0
32	сетевое зарядное устройство apple 20w usb-c power adapter	https://eldorado.ru/cat/detail/setevoe-zaryadnoe-ustroystvo-apple-20w-usb-c-power-adapter-mhje3zm-a/	-20.0
25	jbl clip 3	https://eldorado.ru/cat/detail/portativnaja-akustika-jbl-clip-3-black-jblclip3blk/	-19.0
29	самсунг а71 цена	https://eldorado.ru/cat/detail/smartfon-samsung-galaxy-a71-black-sm-a715f-dsm/	-19.0
30	сетевое зарядное устройство apple 20w usb-c power adapter (mhje3zm/a)	https://eldorado.ru/cat/detail/setevoe-zaryadnoe-ustroystvo-apple-20w-usb-c-power-adapter-mhje3zm-a/	-19.0
34	самсунг а 12 цена	https://eldorado.ru/cat/detail/smartfon-samsung-galaxy-a12-64gb-black-sm-a125f/	-19.0
36	vivo y31	https://eldorado.ru/cat/detail/smartfon-vivo-y31-chernyy-asfalt-v2036/	-16.0
39	ps plus 12 месяцев купить	https://eldorado.ru/cat/detail/podpiska-sony-playstation-plus-na-12-mesjatsev/	-14.0
43	logitech g102 prodigy	https://eldorado.ru/cat/detail/igrovaja-mysh-logitech-g102-prodigy-910-004939/	-13.0
41	яндекс станция	https://eldorado.ru/cat/detail/umnaya-kolonka-yandex-stantsiya-black-yndx-0001/	-12.0
56	lg f12m7wds0	https://eldorado.ru/cat/detail/stiralnaya-mashina-lg-f12m7wds0/	-11.0
55	lg f12b8wds7	https://eldorado.ru/cat/detail/stiralnaya-mashina-lg-f12b8wds7/	-11.0
42	honor 30	https://eldorado.ru/cat/detail/smartfon-honor-30-128gb-midnight-black-bmh-an10/	-11.0
53	honor 20e	https://eldorado.ru/cat/detail/smartfon-honor-20e-4-64gb-phantom-blue-hry-lx1t/	-11.0
49	lg sn5r	https://eldorado.ru/cat/detail/saundbar-lg-sn5r/	-11.0
52	самсунг а 51 цена	https://eldorado.ru/cat/detail/smartfon-samsung-galaxy-a51-64gb-black-sm-a515f/	-11.0
44	ps4 pro характеристики	https://eldorado.ru/cat/detail/igrovaja-pristavka-sony-playstation-4-pro-1tb-black-cuh-7208b/?show=properties	-10.0
67	стиральная машина узкая lg f2t3hs6s	https://eldorado.ru/cat/detail/stiralnaya-mashina-lg-f2t3hs6s/	-9.0
61	пылесос-робот xiaomi mi robot vacuum mop skv4093gl	https://eldorado.ru/cat/detail/robot-pylesos-mi-robot-vacuum-mop-skv4093gl/	-8.0
54	lenovo a7600-h характеристики	https://eldorado.ru/cat/detail/planshet-lenovo-tab-a7600-h-16gb-3g/?show=properties	-7.0
27	xiaomi redmi 9 4/64gb	https://eldorado.ru/cat/detail/smartfon-redmi-9-4-64gb-carbon-grey/	-7.0
79	редми 9	https://eldorado.ru/cat/detail/smartfon-redmi-9-4-64gb-carbon-grey/	-7.0
62	холодильник hi отзывы	https://eldorado.ru/cat/detail/kholodilnik-hi-hfdn118622s/?show=response	-7.0
64	lg f2h5hs6w	https://eldorado.ru/cat/detail/stiralnaya-mashina-lg-f2h5hs6w/	-7.0
71	smv25ex01r	https://eldorado.ru/cat/detail/vstraivaemaya-posudomoechnaya-mashina-bosch-serie-2-smv25ex01r/	-7.0
