	Запросы	URL перехода выдачи	Разница переходов
3	духовой шкаф bosch	https://eldorado.ru/c/elektricheskie-dukhovye-shkafy/b/BOSCH/	-35.0
2	духовой шкаф электрический	https://eldorado.ru/c/elektricheskie-dukhovye-shkafy/	-32.0
1	духовой шкаф	https://eldorado.ru/c/elektricheskie-dukhovye-shkafy/	-31.0
4	духовой шкаф электрический отдельностоящий	https://eldorado.ru/c/elektricheskie-dukhovye-shkafy/f/428524442/s_teleskopicheskimi_napravljajushhimi/	-21.0
0	духовой шкаф электрический встраиваемый	https://eldorado.ru/c/elektricheskie-dukhovye-shkafy/	-20.0
5	духовка электрическая встраиваемая	https://eldorado.ru/c/elektricheskie-dukhovye-shkafy/	-18.0
8	электрический духовой шкаф	https://eldorado.ru/c/elektricheskie-dukhovye-shkafy/	-13.0
7	купить духовой шкаф	https://eldorado.ru/c/elektricheskie-dukhovye-shkafy/	-11.0
11	духовые шкафы	https://eldorado.ru/c/elektricheskie-dukhovye-shkafy/	-10.0
9	духовой шкаф с свч	https://eldorado.ru/c/elektricheskie-dukhovye-shkafy/f/428525894/	-8.0
