	Запросы	URL перехода выдачи	Разница переходов
1	купить газовую плиту	https://eldorado.ru/c/gazovye-plity/	-58.0
4	газовая плита гефест с газовой духовкой цена и отзывы какая лучше	https://eldorado.ru/c/gazovye-plity/b/GEFEST/f/s_gazovoy_duhovkoy/	-49.0
0	газовая плита купить	https://eldorado.ru/c/gazovye-plity/	-46.0
6	газовая плита купить в москве недорого	https://eldorado.ru/c/gazovye-plity/	-32.0
7	купить газовую плиту в москве с газовой духовкой	https://eldorado.ru/c/gazovye-plity/f/s_gazovoy_duhovkoy/	-24.0
2	газовая плита	https://eldorado.ru/c/gazovye-plity/	-23.0
13	газовая плита купить в спб	https://eldorado.ru/c/gazovye-plity/tag/geo-spb/	-12.0
5	плита газовая	https://eldorado.ru/c/gazovye-plity/	-11.0
12	газовая плита	https://eldorado.ru/c/gazovye-plity/tag/geo-spb/	-11.0
3	газовые плиты	https://eldorado.ru/c/gazovye-plity/	-10.0
11	купить газовую плиту в спб	https://eldorado.ru/c/gazovye-plity/tag/geo-spb/	-10.0
10	купить газовую плиту в москве	https://eldorado.ru/c/gazovye-plity/	-7.0
18	плита газовая купить в спб	https://eldorado.ru/c/gazovye-plity/tag/geo-spb/	-7.0
