	Запросы	URL перехода выдачи	Разница переходов
0	микроволновая печь	https://eldorado.ru/c/mikrovolnovye-pechi/	-192.0
2	микроволновка	https://eldorado.ru/c/mikrovolnovye-pechi/	-87.0
5	микроволновая печь купить недорого в москве	https://eldorado.ru/c/mikrovolnovye-pechi/	-46.0
3	купить микроволновку	https://eldorado.ru/c/mikrovolnovye-pechi/	-44.0
8	микроволновая печь маленького размера только для разогрева	https://eldorado.ru/c/mikrovolnovye-pechi/tag/malenkie_mikrovolnovki/	-35.0
9	купить микроволновку в спб недорого	https://eldorado.ru/c/mikrovolnovye-pechi/	-31.0
11	микроволновка самсунг	https://eldorado.ru/c/mikrovolnovye-pechi/b/SAMSUNG/	-31.0
4	купить микроволновую печь	https://eldorado.ru/c/mikrovolnovye-pechi/	-23.0
7	микроволновая печь купить спб	https://eldorado.ru/c/mikrovolnovye-pechi/	-21.0
10	купить микроволновку в москве	https://eldorado.ru/c/mikrovolnovye-pechi/	-21.0
13	микроволновая печь lg	https://eldorado.ru/c/mikrovolnovye-pechi/b/LG/	-21.0
15	микроволновые печи	https://eldorado.ru/c/mikrovolnovye-pechi/	-10.0
21	микроволновая печь купить в воронеже	https://eldorado.ru/c/mikrovolnovye-pechi/	-9.0
23	микроволновая печь купить в нижнем новгороде	https://eldorado.ru/c/mikrovolnovye-pechi/	-7.0
24	свч печь купить недорого в москве	https://eldorado.ru/c/mikrovolnovye-pechi/	-6.0
