	Запросы	URL перехода выдачи	Разница переходов
0	беспроводные наушники	https://eldorado.ru/c/naushniki/f/besprovodnye/	-213.0
1	наушники беспроводные	https://eldorado.ru/c/naushniki/f/besprovodnye/	-165.0
2	наушники	https://eldorado.ru/c/naushniki/	-132.0
3	беспроводные наушники jbl	https://eldorado.ru/c/naushniki/b/JBL/tag/bluetooth/	-109.0
4	беспроводные наушники самсунг	https://eldorado.ru/c/naushniki/b/SAMSUNG/f/besprovodnye/	-59.0
5	наушники jbl	https://eldorado.ru/c/naushniki/b/JBL/	-52.0
9	наушники jbl беспроводные	https://eldorado.ru/c/naushniki/b/JBL/tag/bluetooth/	-52.0
11	наушники apple	https://eldorado.ru/c/naushniki/b/APPLE/	-44.0
12	jbl наушники беспроводные	https://eldorado.ru/c/naushniki/b/JBL/tag/bluetooth/	-43.0
14	наушники с микрофоном для компьютера	https://eldorado.ru/c/naushniki/f/s-mikrofonom/	-36.0
16	беспроводные наушники самсунг для телефона	https://eldorado.ru/c/naushniki/b/SAMSUNG/f/besprovodnye/	-34.0
8	купить наушники	https://eldorado.ru/c/naushniki/	-33.0
10	наушники беспроводные самсунг	https://eldorado.ru/c/naushniki/b/SAMSUNG/f/besprovodnye/	-32.0
18	airpods купить	https://eldorado.ru/c/naushniki/tag/apple-airpods/	-30.0
15	наушники с микрофоном	https://eldorado.ru/c/naushniki/f/s-mikrofonom/	-26.0
17	наушники для плавания	https://eldorado.ru/c/naushniki/tag/dlja-plavanija/	-25.0
19	наушники sennheiser	https://eldorado.ru/c/naushniki/b/SENNHEISER/	-21.0
6	купить беспроводные наушники	https://eldorado.ru/c/naushniki/f/besprovodnye/	-18.0
22	беспроводные наушники до 1000 рублей	https://eldorado.ru/c/naushniki/tag/tsena-do-1000/	-18.0
21	купить наушники беспроводные	https://eldorado.ru/c/naushniki/f/besprovodnye/	-14.0
23	детские наушники	https://eldorado.ru/c/naushniki/tag/detskie/	-13.0
13	наушники самсунг беспроводные	https://eldorado.ru/c/naushniki/b/SAMSUNG/f/besprovodnye/	-12.0
25	беспроводные наушники samsung	https://eldorado.ru/c/naushniki/b/SAMSUNG/f/besprovodnye/	-12.0
30	наушники проводные	https://eldorado.ru/c/naushniki/f/provodnye/	-12.0
28	беспроводные наушники apple	https://eldorado.ru/c/naushniki/b/APPLE/f/besprovodnye/	-10.0
7	беспроводные наушники купить	https://eldorado.ru/c/naushniki/f/besprovodnye/	-9.0
26	беспроводные наушники вкладыши	https://eldorado.ru/c/naushniki/f/besprovodnye/vkladyshi/	-9.0
20	наушники купить	https://eldorado.ru/c/naushniki/	-7.0
29	наушники apple беспроводные	https://eldorado.ru/c/naushniki/b/APPLE/f/besprovodnye/	-6.0
31	наушники беспроводные накладные	https://eldorado.ru/c/naushniki/f/besprovodnye/nakladnye/	-6.0
