	Запросы	URL перехода выдачи	Разница переходов
1	playstation 5	https://eldorado.ru/promo/prm-playstation5/	-2581.0
2	ps5	https://eldorado.ru/promo/prm-playstation5/	-2507.0
0	ps5 купить	https://eldorado.ru/promo/prm-playstation5/	-2492.0
3	playstation 5 купить	https://eldorado.ru/promo/prm-playstation5/	-1662.0
4	sony playstation 5	https://eldorado.ru/promo/prm-playstation5/	-1359.0
6	плейстейшен 5	https://eldorado.ru/promo/prm-playstation5/	-968.0
5	купить ps5	https://eldorado.ru/promo/prm-playstation5/	-732.0
9	сони плейстейшен 5	https://eldorado.ru/promo/prm-playstation5/	-660.0
7	ps 5 купить	https://eldorado.ru/promo/prm-playstation5/	-579.0
10	ps 5	https://eldorado.ru/promo/prm-playstation5/	-538.0
8	sony playstation 5 купить	https://eldorado.ru/promo/prm-playstation5/	-523.0
11	плейстейшен 5 купить	https://eldorado.ru/promo/prm-playstation5/	-490.0
15	пс5	https://eldorado.ru/promo/prm-playstation5/	-451.0
16	ps5 купить в москве	https://eldorado.ru/promo/prm-playstation5/	-402.0
17	пс 5	https://eldorado.ru/promo/prm-playstation5/	-401.0
18	пс5 купить	https://eldorado.ru/promo/prm-playstation5/	-360.0
14	купить playstation 5	https://eldorado.ru/promo/prm-playstation5/	-359.0
12	купить пс5	https://eldorado.ru/promo/prm-playstation5/	-345.0
19	сони плейстейшен 5 купить	https://eldorado.ru/promo/prm-playstation5/	-343.0
13	пс 5 купить	https://eldorado.ru/promo/prm-playstation5/	-315.0
20	купить пс 5	https://eldorado.ru/promo/prm-playstation5/	-296.0
21	ps5 купить в санкт-петербурге	https://eldorado.ru/promo/prm-playstation5/	-275.0
24	плейстейшен 5 цена	https://eldorado.ru/promo/prm-playstation5/	-240.0
23	купить сони плейстейшен 5	https://eldorado.ru/promo/prm-playstation5/	-223.0
22	купить плейстейшен 5	https://eldorado.ru/promo/prm-playstation5/	-219.0
26	playstation 5 купить в спб	https://eldorado.ru/promo/prm-playstation5/	-164.0
31	ps5 цена	https://eldorado.ru/promo/prm-playstation5/	-154.0
27	купить sony playstation 5	https://eldorado.ru/promo/prm-playstation5/	-140.0
32	купить ps5 в москве	https://eldorado.ru/promo/prm-playstation5/	-138.0
30	playstation 5 купить в москве	https://eldorado.ru/promo/prm-playstation5/	-137.0
35	sony playstation 5 купить в спб	https://eldorado.ru/promo/prm-playstation5/	-128.0
29	купить ps 5	https://eldorado.ru/promo/prm-playstation5/	-115.0
37	сони плейстейшен 5 цена	https://eldorado.ru/promo/prm-playstation5/	-114.0
34	ps5 digital edition купить	https://eldorado.ru/promo/prm-playstation5/	-97.0
38	плейстейшен 5 купить в москве	https://eldorado.ru/promo/prm-playstation5/	-96.0
41	ps5 купить в екатеринбурге	https://eldorado.ru/promo/prm-playstation5/	-93.0
36	сони плейстейшен 5 купить в москве	https://eldorado.ru/promo/prm-playstation5/	-91.0
39	playstation 5 цена	https://eldorado.ru/promo/prm-playstation5/	-90.0
43	купить ps5 в спб	https://eldorado.ru/promo/prm-playstation5/	-90.0
40	пс5 купить в москве	https://eldorado.ru/promo/prm-playstation5/	-89.0
44	купить пс5 в москве	https://eldorado.ru/promo/prm-playstation5/	-74.0
33	ps5 предзаказ	https://eldorado.ru/promo/prm-playstation5/	-64.0
50	купить сони плейстейшен 5 в москве	https://eldorado.ru/promo/prm-playstation5/	-63.0
46	пс 5 купить в москве	https://eldorado.ru/promo/prm-playstation5/	-61.0
25	playstation 5 предзаказ	https://eldorado.ru/promo/prm-playstation5/	-56.0
47	плейстейшен 5 купить в спб	https://eldorado.ru/promo/prm-playstation5/	-55.0
51	сони плейстейшен 5 купить в спб	https://eldorado.ru/promo/prm-playstation5/	-54.0
45	ps 5 купить в москве	https://eldorado.ru/promo/prm-playstation5/	-53.0
54	сони плейстейшен 5 купить в новосибирске	https://eldorado.ru/promo/prm-playstation5/	-49.0
62	ps5 купить саратов	https://eldorado.ru/promo/prm-playstation5/	-42.0
52	playstation 5 купить екатеринбург	https://eldorado.ru/promo/prm-playstation5/	-42.0
67	купить ps5 digital edition	https://eldorado.ru/promo/prm-playstation5/	-41.0
61	sony playstation 5 цена	https://eldorado.ru/promo/prm-playstation5/	-40.0
66	ps5 купить в уфе	https://eldorado.ru/promo/prm-playstation5/	-40.0
65	ps 5 предзаказ	https://eldorado.ru/promo/prm-playstation5/	-38.0
59	купить playstation 5 в москве	https://eldorado.ru/promo/prm-playstation5/	-38.0
58	sony playstation 5 digital edition	https://eldorado.ru/promo/prm-playstation5/	-37.0
42	предзаказ ps5	https://eldorado.ru/promo/prm-playstation5/	-36.0
74	купить пс5 в спб	https://eldorado.ru/promo/prm-playstation5/	-35.0
69	ps 5 цена	https://eldorado.ru/promo/prm-playstation5/	-34.0
60	ps5 купить в воронеже	https://eldorado.ru/promo/prm-playstation5/	-31.0
78	плэй стэйшн 5 купить	https://eldorado.ru/promo/prm-playstation5/	-30.0
77	купить пс 5 в москве	https://eldorado.ru/promo/prm-playstation5/	-30.0
53	ps5 купить в красноярске	https://eldorado.ru/promo/prm-playstation5/	-30.0
56	купить плейстейшен 5 в москве	https://eldorado.ru/promo/prm-playstation5/	-29.0
71	пс 5 цена	https://eldorado.ru/promo/prm-playstation5/	-29.0
75	sony playstation 5 купить в красноярске	https://eldorado.ru/promo/prm-playstation5/	-28.0
64	ps5 купить в краснодаре	https://eldorado.ru/promo/prm-playstation5/	-27.0
80	playstation 5 купить в самаре	https://eldorado.ru/promo/prm-playstation5/	-27.0
72	ps5 купить в москве в наличии	https://eldorado.ru/promo/prm-playstation5/	-26.0
83	ps5 купить в липецке	https://eldorado.ru/promo/prm-playstation5/	-25.0
63	ps 5 купить спб	https://eldorado.ru/promo/prm-playstation5/	-23.0
73	ps5 купить в нижнем новгороде	https://eldorado.ru/promo/prm-playstation5/	-23.0
49	ps5 купить в новосибирске	https://eldorado.ru/promo/prm-playstation5/	-23.0
68	ps 5 digital edition купить	https://eldorado.ru/promo/prm-playstation5/	-21.0
100	пс5 купить в екатеринбурге	https://eldorado.ru/promo/prm-playstation5/	-21.0
57	ps5 купить в самаре	https://eldorado.ru/promo/prm-playstation5/	-21.0
84	купить playstation 5 в спб	https://eldorado.ru/promo/prm-playstation5/	-21.0
94	ps5 купить в белгороде	https://eldorado.ru/promo/prm-playstation5/	-20.0
88	купить сони плейстейшен 5 в спб	https://eldorado.ru/promo/prm-playstation5/	-20.0
86	playstation 5 купить тюмень	https://eldorado.ru/promo/prm-playstation5/	-20.0
97	купить ps5 в новосибирске	https://eldorado.ru/promo/prm-playstation5/	-20.0
95	пс5 купить приставку	https://eldorado.ru/promo/prm-playstation5/	-19.0
81	ps5 купить в омске	https://eldorado.ru/promo/prm-playstation5/	-18.0
98	плейстейшен 5 купить в екатеринбурге	https://eldorado.ru/promo/prm-playstation5/	-18.0
104	playstation®5	https://eldorado.ru/promo/prm-playstation5/	-18.0
91	купить ps5 в екатеринбурге	https://eldorado.ru/promo/prm-playstation5/	-18.0
105	ps5 купить в казани	https://eldorado.ru/promo/prm-playstation5/	-17.0
55	ps5 купить в спб	https://eldorado.ru/promo/prm-playstation5/	-17.0
89	ps5 предзаказ купить	https://eldorado.ru/promo/prm-playstation5/	-17.0
82	ps5 купить в тюмени	https://eldorado.ru/promo/prm-playstation5/	-17.0
108	ps5 купить тольятти	https://eldorado.ru/promo/prm-playstation5/	-16.0
103	сони плейстейшен 5 купить в екатеринбурге	https://eldorado.ru/promo/prm-playstation5/	-15.0
111	playstation 5 купить спб	https://eldorado.ru/promo/prm-playstation5/	-15.0
117	ps5 купить рязань	https://eldorado.ru/promo/prm-playstation5/	-14.0
101	зы 5	https://eldorado.ru/promo/prm-playstation5/	-14.0
76	sony playstation 5 предзаказ	https://eldorado.ru/promo/prm-playstation5/	-14.0
102	купить ps5 в москве в наличии	https://eldorado.ru/promo/prm-playstation5/	-13.0
120	ps5 купить в хабаровске	https://eldorado.ru/promo/prm-playstation5/	-13.0
118	купить ps5 в краснодаре	https://eldorado.ru/promo/prm-playstation5/	-12.0
96	ps5 купить в челябинске	https://eldorado.ru/promo/prm-playstation5/	-12.0
85	пс 5 купить в спб	https://eldorado.ru/promo/prm-playstation5/	-12.0
109	sony ps5 купить	https://eldorado.ru/promo/prm-playstation5/	-11.0
115	sony playstation 5 купить в екатеринбурге	https://eldorado.ru/promo/prm-playstation5/	-11.0
124	где купить ps5	https://eldorado.ru/promo/prm-playstation5/	-11.0
112	ps5 купить в перми	https://eldorado.ru/promo/prm-playstation5/	-11.0
121	ps5 купить спб	https://eldorado.ru/promo/prm-playstation5/	-11.0
79	пс5 купить в спб	https://eldorado.ru/promo/prm-playstation5/	-11.0
90	sony playstation 5 digital edition купить	https://eldorado.ru/promo/prm-playstation5/	-11.0
126	плейстейшен 5 купить в новосибирске	https://eldorado.ru/promo/prm-playstation5/	-10.0
92	playstation 5 купить в новосибирске	https://eldorado.ru/promo/prm-playstation5/	-10.0
127	купить ps5 в россии	https://eldorado.ru/promo/prm-playstation5/	-9.0
125	купить sony playstation 5 в москве	https://eldorado.ru/promo/prm-playstation5/	-9.0
93	ps 5 купить в екатеринбурге	https://eldorado.ru/promo/prm-playstation5/	-9.0
116	playstation 5 купить воронеж	https://eldorado.ru/promo/prm-playstation5/	-9.0
132	playstation 5 купить пермь	https://eldorado.ru/promo/prm-playstation5/	-8.0
106	playstation 5 купить красноярск	https://eldorado.ru/promo/prm-playstation5/	-7.0
