	Запросы	URL перехода выдачи	Разница переходов
2	пылесос дайсон	https://eldorado.ru/c/pylesosy/b/DYSON/	-160.0
1	купить пылесос	https://eldorado.ru/c/pylesosy/	-124.0
0	пылесос	https://eldorado.ru/c/pylesosy/	-104.0
4	пылесосы	https://eldorado.ru/c/pylesosy/	-79.0
5	дайсон пылесос	https://eldorado.ru/c/pylesosy/b/DYSON/	-77.0
3	пылесос купить	https://eldorado.ru/c/pylesosy/	-55.0
9	пылесос самсунг	https://eldorado.ru/c/pylesosy/b/SAMSUNG/	-31.0
6	мощный вертикальный пылесос работающий от сети	https://eldorado.ru/c/pylesosy/tag/pylesosy_provodnye_vertikalnye/	-27.0
14	пылесос тефаль	https://eldorado.ru/c/pylesosy/b/TEFAL/	-23.0
18	пылесос для мебели	https://eldorado.ru/c/pylesosy/tag/pylesosy_dlya_mebeli/	-18.0
8	беспроводной пылесос	https://eldorado.ru/c/pylesosy/f/besprovodnye-akkumulyatornye/	-16.0
12	пылесосы дайсон	https://eldorado.ru/c/pylesosy/b/DYSON/	-15.0
15	пылесос вертикальный проводной	https://eldorado.ru/c/pylesosy/tag/pylesosy_provodnye_vertikalnye/	-13.0
17	пылесос дайсон купить	https://eldorado.ru/c/pylesosy/b/DYSON/	-13.0
23	пылесос для дивана	https://eldorado.ru/c/pylesosy/tag/pylesosy_dlya_mebeli/	-12.0
25	дайсон пылесос беспроводной	https://eldorado.ru/c/pylesosy/b/DYSON/f/besprovodnye-akkumulyatornye/	-12.0
11	купить пылесос дайсон	https://eldorado.ru/c/pylesosy/b/DYSON/	-11.0
22	пылесос dyson	https://eldorado.ru/c/pylesosy/b/DYSON/	-11.0
30	мини пылесос для дома	https://eldorado.ru/c/pylesosy/tag/mini_pylesosy/	-9.0
10	купить пылесос в москве	https://eldorado.ru/c/pylesosy/	-7.0
31	проводной вертикальный пылесос	https://eldorado.ru/c/pylesosy/tag/pylesosy_provodnye_vertikalnye/	-7.0
32	пылесос купить в новосибирске	https://eldorado.ru/c/pylesosy/	-7.0
28	дайсон пылесос купить	https://eldorado.ru/c/pylesosy/b/DYSON/	-6.0
