	Запросы	URL перехода выдачи	Разница переходов
0	айфон 10	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-1810.0
1	айфон 10 цена	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-784.0
3	iphone x	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-294.0
2	купить айфон 10	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-282.0
6	смартфон самсунг 2020 года модели и цена	https://eldorado.ru/c/smartfony/b/SAMSUNG/tag/2020-goda/	-234.0
5	iphone x купить	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-232.0
8	айфон 11 про	https://eldorado.ru/c/smartfony/b/APPLE/f/iphone-11-pro-pro-max/	-214.0
9	iphone 10	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-197.0
7	где самые большие скидки на смартфоны	https://eldorado.ru/c/smartfony/tag/rasprodazha/	-164.0
11	айфон х	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-159.0
4	айфон 10 купить	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-150.0
13	айфон 12	https://eldorado.ru/c/smartfony/tag/iphone-12/	-145.0
14	сколько стоит айфон 10	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-133.0
20	айфон x	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-107.0
15	айфон 11 купить	https://eldorado.ru/c/smartfony/b/APPLE/f/iphone-11/	-98.0
24	купить айфон x	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-94.0
19	хонор 20	https://eldorado.ru/c/smartfony/tag/honor-20-series/	-93.0
22	купить iphone x	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-92.0
33	купить айфон х	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-76.0
32	купить айфон 11 про	https://eldorado.ru/c/smartfony/b/APPLE/f/iphone-11-pro-pro-max/	-75.0
23	iphone 11 128gb	https://eldorado.ru/c/smartfony/f/iphone-11/pamyat-128-gb/	-74.0
12	iphone 11	https://eldorado.ru/c/smartfony/f/iphone-11/	-73.0
21	honor 20	https://eldorado.ru/c/smartfony/tag/honor-20-series/	-73.0
34	iphone xr	https://eldorado.ru/c/smartfony/f/iphone-xr/	-73.0
28	iphone 10 купить	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-69.0
31	айфон 12 цена	https://eldorado.ru/c/smartfony/tag/iphone-12/	-67.0
29	айфон	https://eldorado.ru/c/smartfony/b/APPLE/	-65.0
39	samsung s10	https://eldorado.ru/c/smartfony/f/galaxy-s10-s10e-s10-plus/	-63.0
37	iphone 11 pro max купить	https://eldorado.ru/c/smartfony/b/APPLE/f/iphone-11-pro-pro-max/	-58.0
10	купить айфон 11	https://eldorado.ru/c/smartfony/f/iphone-11/	-56.0
50	купить самсунг	https://eldorado.ru/c/smartfony/b/SAMSUNG/	-50.0
44	айфон x цена	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-49.0
53	айфон х купить	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-46.0
59	10 айфон цена	https://eldorado.ru/c/smartfony/tag/iphone-x-10/	-39.0
