	Запросы	URL перехода выдачи	Разница переходов
4	стиральная машина с сушкой	https://eldorado.ru/c/stiralnye-mashiny/f/s-sushkoy/	-63.0
13	купить стиральную машину недорого в москве распродажа	https://eldorado.ru/c/stiralnye-mashiny/tag/rasprodazha_stiralnyh_mashin/	-56.0
15	стиральные машины с вертикальной загрузкой	https://eldorado.ru/c/stiralnye-mashiny/f/s-vertikalnoy-zagruzkoy/	-53.0
6	стиральная машина с вертикальной загрузкой	https://eldorado.ru/c/stiralnye-mashiny/f/s-vertikalnoy-zagruzkoy/	-37.0
3	стиральные машины	https://eldorado.ru/c/stiralnye-mashiny/	-24.0
7	стиральная машина купить в спб	https://eldorado.ru/c/stiralnye-mashiny/tag/geo-spb/	-24.0
10	купить стиральную машинку	https://eldorado.ru/c/stiralnye-mashiny/	-20.0
34	где лучше покупать стиральную машину	https://eldorado.ru/c/stiralnye-mashiny/tag/rasprodazha_stiralnyh_mashin/	-20.0
32	купить стиральную машину бош	https://eldorado.ru/c/stiralnye-mashiny/b/BOSCH/	-20.0
14	стиральная машина bosch	https://eldorado.ru/c/stiralnye-mashiny/b/BOSCH/	-16.0
39	выбрать стиральную машину цена -качество	https://eldorado.ru/c/stiralnye-mashiny/	-16.0
18	стиральная машина бош	https://eldorado.ru/c/stiralnye-mashiny/b/BOSCH/	-15.0
30	стиральная машинка купить	https://eldorado.ru/c/stiralnye-mashiny/	-15.0
41	стиральные машины с сушкой	https://eldorado.ru/c/stiralnye-mashiny/f/s-sushkoy/	-11.0
52	стиральные машины бош	https://eldorado.ru/c/stiralnye-mashiny/b/BOSCH/	-10.0
28	стиральная машина	https://eldorado.ru/c/stiralnye-mashiny/tag/geo-spb/	-10.0
26	стиральная машина с сушкой купить	https://eldorado.ru/c/stiralnye-mashiny/f/s-sushkoy/	-10.0
5	стиральная машина lg	https://eldorado.ru/c/stiralnye-mashiny/b/LG/	-10.0
66	купить стиральную машину в воронеже	https://eldorado.ru/c/stiralnye-mashiny/	-10.0
55	стиральная машина lg 6 кг	https://eldorado.ru/c/stiralnye-mashiny/b/LG/f/6-kg/	-9.0
63	стиральная машинка с верхней загрузкой	https://eldorado.ru/c/stiralnye-mashiny/f/s-vertikalnoy-zagruzkoy/	-9.0
27	узкие стиральные машины	https://eldorado.ru/c/stiralnye-mashiny/tag/glubinoj-40-sm/	-8.0
36	стиральная машина купить в екатеринбурге	https://eldorado.ru/c/stiralnye-mashiny/	-8.0
16	стиральная машина купить в москве	https://eldorado.ru/c/stiralnye-mashiny/	-8.0
51	стиральные машины	https://eldorado.ru/c/stiralnye-mashiny/tag/geo-spb/	-7.0
56	стиральная машина атлант	https://eldorado.ru/c/stiralnye-mashiny/b/ATLANT/	-7.0
69	купить стиральную машину в краснодаре	https://eldorado.ru/c/stiralnye-mashiny/	-7.0
21	узкая стиральная машина	https://eldorado.ru/c/stiralnye-mashiny/tag/glubinoj-40-sm/	-6.0
54	купить стиральную машину в нижнем новгороде	https://eldorado.ru/c/stiralnye-mashiny/	-6.0
