	Запросы	URL перехода выдачи	Разница переходов
0	купить телевизор	https://eldorado.ru/c/televizory/	-160.0
1	телевизор	https://eldorado.ru/c/televizory/	-138.0
3	самый недорогой телевизор	https://eldorado.ru/c/televizory/tag/deshevye/	-104.0
5	телевизор hi	https://eldorado.ru/c/televizory/b/HI/	-80.0
4	телевизоры	https://eldorado.ru/c/televizory/	-68.0
7	телевизор витязь	https://eldorado.ru/c/televizory/b/VITYAZ/	-66.0
11	телевизор samsung	https://eldorado.ru/c/televizory/b/SAMSUNG/	-58.0
12	телевизоры самсунг	https://eldorado.ru/c/televizory/b/SAMSUNG/	-58.0
8	купить телевизор самсунг	https://eldorado.ru/c/televizory/b/SAMSUNG/	-56.0
2	телевизор купить	https://eldorado.ru/c/televizory/	-44.0
14	купить телевизор в нижнем новгороде	https://eldorado.ru/c/televizory/tag/nizhniy-novgorod/	-44.0
16	телевизор lg	https://eldorado.ru/c/televizory/b/LG/	-29.0
27	телевизор на кухню	https://eldorado.ru/c/televizory/tag/na-kuhnju/	-28.0
13	телевизор купить в москве	https://eldorado.ru/c/televizory/	-27.0
28	телевизор с интернетом	https://eldorado.ru/c/televizory/tag/s-internetom/	-26.0
6	купить телевизор в москве	https://eldorado.ru/c/televizory/	-25.0
20	телевизор 32 дюйма	https://eldorado.ru/c/televizory/tag/televizory-32-dyujma/	-23.0
9	купить телевизор в москве недорого	https://eldorado.ru/c/televizory/tag/deshevye/	-23.0
22	телевизор витязь купить	https://eldorado.ru/c/televizory/b/VITYAZ/	-20.0
29	купить маленький телевизор на кухню	https://eldorado.ru/c/televizory/tag/na-kuhnju/	-20.0
23	8к телевизор купить	https://eldorado.ru/c/televizory/f/ultra-hd-8k/	-19.0
24	купить телевизор в самаре	https://eldorado.ru/c/televizory/tag/samara/	-19.0
30	купить телевизор в воронеже	https://eldorado.ru/c/televizory/tag/voronezh/	-18.0
26	купить телевизор в екатеринбурге	https://eldorado.ru/c/televizory/tag/ekaterinburg/	-17.0
42	телевизоры витязь	https://eldorado.ru/c/televizory/b/VITYAZ/	-17.0
35	купить телевизор в калининграде	https://eldorado.ru/c/televizory/	-16.0
40	купить телевизор на кухню	https://eldorado.ru/c/televizory/tag/na-kuhnju/	-15.0
32	телевизор 22 дюйма купить	https://eldorado.ru/c/televizory/tag/televizory-22-dyujma/	-15.0
39	телевизор купить в самаре	https://eldorado.ru/c/televizory/tag/samara/	-14.0
51	витязь телевизор	https://eldorado.ru/c/televizory/b/VITYAZ/	-12.0
17	купить телевизор недорого	https://eldorado.ru/c/televizory/tag/deshevye/	-12.0
44	телевизор 24 дюйма	https://eldorado.ru/c/televizory/tag/24-dyujma/	-11.0
21	купить телевизор 32 дюйма	https://eldorado.ru/c/televizory/tag/televizory-32-dyujma/	-11.0
53	смарт телевизор	https://eldorado.ru/c/televizory/f/smart-tv/	-11.0
46	телевизор купить дешево	https://eldorado.ru/c/televizory/tag/deshevye/	-10.0
43	купить телевизор	https://eldorado.ru/c/televizory/tag/geo-spb/	-10.0
57	телевизор купить в нижнем новгороде	https://eldorado.ru/c/televizory/tag/nizhniy-novgorod/	-9.0
34	телевизор 32 дюйма купить недорого в москве	https://eldorado.ru/c/televizory/tag/televizory-32-dyujma/	-9.0
37	купить телевизор в омске	https://eldorado.ru/c/televizory/tag/omsk/	-9.0
33	купить телевизор в новосибирске	https://eldorado.ru/c/televizory/tag/novosibirsk/	-8.0
52	купить телевизор в новосибирске недорого	https://eldorado.ru/c/televizory/tag/novosibirsk/	-8.0
18	телевизор купить в спб	https://eldorado.ru/c/televizory/tag/geo-spb/	-8.0
69	телевизор самсунг 32 дюйма	https://eldorado.ru/c/televizory/b/SAMSUNG/tag/televizory-32-dyujma/	-8.0
56	купить телевизор в челябинске	https://eldorado.ru/c/televizory/tag/chelyabinsk/	-7.0
59	телевизоры lg	https://eldorado.ru/c/televizory/b/LG/	-7.0
45	телевизор купить	https://eldorado.ru/c/televizory/tag/geo-spb/	-6.0
31	купить телевизор в красноярске	https://eldorado.ru/c/televizory/tag/krasnoyarsk/	-6.0
65	oled телевизоры	https://eldorado.ru/c/televizory/f/oled-technologiya/	-6.0
