	Запросы	URL перехода выдачи	Разница переходов
0	смарт часы	https://eldorado.ru/c/umnye-chasy/	-122.0
2	apple watch	https://eldorado.ru/c/umnye-chasy/b/APPLE/	-90.0
3	смарт часы женские	https://eldorado.ru/c/umnye-chasy/tag/smart-chasy-zhenskie/	-72.0
4	смарт часы самсунг женские	https://eldorado.ru/c/umnye-chasy/b/SAMSUNG/tag/smart-chasy-zhenskie/	-54.0
9	умные часы женские	https://eldorado.ru/c/umnye-chasy/tag/smart-chasy-zhenskie/	-38.0
6	умные часы	https://eldorado.ru/c/umnye-chasy/	-38.0
11	apple watch купить	https://eldorado.ru/c/umnye-chasy/b/APPLE/	-35.0
10	apple watch 3	https://eldorado.ru/c/umnye-chasy/tag/apple_watch_3_series/	-33.0
5	смарт часы самсунг	https://eldorado.ru/c/umnye-chasy/b/SAMSUNG/	-33.0
12	смарт-часы	https://eldorado.ru/c/umnye-chasy/	-29.0
15	женские смарт часы	https://eldorado.ru/c/umnye-chasy/tag/smart-chasy-zhenskie/	-23.0
17	часы с измерением давления	https://eldorado.ru/c/umnye-chasy/f/s-tonometrom/	-22.0
18	умные часы самсунг	https://eldorado.ru/c/umnye-chasy/b/SAMSUNG/	-22.0
19	часы с измерением артериального давления купить	https://eldorado.ru/c/umnye-chasy/f/s-tonometrom/	-18.0
13	смарт часы купить	https://eldorado.ru/c/umnye-chasy/	-14.0
14	умные часы самсунг женские	https://eldorado.ru/c/umnye-chasy/b/SAMSUNG/tag/smart-chasy-zhenskie/	-14.0
1	часы самсунг женские	https://eldorado.ru/c/umnye-chasy/b/SAMSUNG/tag/smart-chasy-zhenskie/	-12.0
20	купить смарт часы	https://eldorado.ru/c/umnye-chasy/	-12.0
7	часы самсунг	https://eldorado.ru/c/umnye-chasy/b/SAMSUNG/	-11.0
24	часы хуавей	https://eldorado.ru/c/umnye-chasy/b/HUAWEI/	-9.0
28	часы измеряющие давление и пульс купить	https://eldorado.ru/c/umnye-chasy/f/s-tonometrom/	-6.0
