	Запросы	URL перехода выдачи	Разница переходов
0	планшет купить	https://eldorado.ru/c/vse-planshety/	-232.0
1	купить планшет	https://eldorado.ru/c/vse-planshety/	-199.0
2	планшет	https://eldorado.ru/c/vse-planshety/	-158.0
3	планшеты	https://eldorado.ru/c/vse-planshety/	-148.0
4	купить планшет самсунг	https://eldorado.ru/c/vse-planshety/b/SAMSUNG/	-76.0
5	купить айпад	https://eldorado.ru/c/vse-planshety/b/APPLE/	-73.0
6	планшеты самсунг	https://eldorado.ru/c/vse-planshety/b/SAMSUNG/	-59.0
8	планшет со стилусом	https://eldorado.ru/c/vse-planshety/tag/planshet_so_stilusom/	-48.0
10	ipad	https://eldorado.ru/c/vse-planshety/b/APPLE/	-41.0
11	ipad 2020	https://eldorado.ru/c/vse-planshety/tag/apple-ipad-2020/	-37.0
7	планшет с клавиатурой	https://eldorado.ru/c/vse-planshety/f/264360871/	-32.0
9	планшет самсунг	https://eldorado.ru/c/vse-planshety/b/SAMSUNG/	-22.0
15	ipad купить	https://eldorado.ru/c/vse-planshety/b/APPLE/	-17.0
14	планшет с клавиатурой недорогой но хороший	https://eldorado.ru/c/vse-planshety/f/264360871/	-14.0
12	купить планшет в москве	https://eldorado.ru/c/vse-planshety/	-13.0
21	планшет купить в спб	https://eldorado.ru/c/vse-planshety/	-12.0
17	планшет huawei	https://eldorado.ru/c/vse-planshety/b/HUAWEI/	-12.0
13	планшет купить в москве	https://eldorado.ru/c/vse-planshety/	-10.0
22	планшет на windows 10 купить	https://eldorado.ru/c/vse-planshety/f/339114150/	-10.0
18	планшет на windows	https://eldorado.ru/c/vse-planshety/f/339114150/	-9.0
19	купить планшет в спб	https://eldorado.ru/c/vse-planshety/	-9.0
