	Запросы	URL перехода выдачи	Разница переходов
0	вытяжка для кухни	https://eldorado.ru/c/vytyazhki/	-85.0
3	вытяжка	https://eldorado.ru/c/vytyazhki/	-66.0
5	вытяжка для кухни без отвода	https://eldorado.ru/c/vytyazhki/f/vytyazhki_ugolnye/	-46.0
1	вытяжка для кухни с отводом в вентиляцию	https://eldorado.ru/c/vytyazhki/f/s_rezhimom_otvoda/	-42.0
8	вытяжка для кухни без отвода в вентиляцию	https://eldorado.ru/c/vytyazhki/f/vytyazhki_ugolnye/	-39.0
7	купить вытяжку	https://eldorado.ru/c/vytyazhki/	-31.0
6	вытяжка на кухню	https://eldorado.ru/c/vytyazhki/	-28.0
10	вытяжка купить	https://eldorado.ru/c/vytyazhki/	-26.0
13	вытяжки для кухни без отвода в вентиляцию цена	https://eldorado.ru/c/vytyazhki/f/vytyazhki_ugolnye/	-23.0
23	кухонные вытяжки	https://eldorado.ru/c/vytyazhki/	-9.0
15	купить вытяжку для кухни над плитой 60 см	https://eldorado.ru/c/vytyazhki/tag/vytjazhki_60_sm/	-8.0
16	вытяжка для кухни купить в спб	https://eldorado.ru/c/vytyazhki/tag/geo-spb/	-8.0
12	вытяжки для кухни	https://eldorado.ru/c/vytyazhki/	-6.0
